Rank,City,Population (2000),Lat,Long
1,Mumbai,12622500,18.96,72.82
2,Dilli,10400900,28.67,77.21
3,Kolkata,4852800,22.57,88.36
4,Bengaluru,4547300,12.97,77.56
5,Chennai,4466900,13.09,80.27
6,Ahmadabad,3724300,23.03,72.58
7,Haidarabad,3654900,17.4,78.48
8,Pune,2691000,18.53,73.84
9,Kanpur,2682600,26.47,80.33
10,Surat,2578400,21.2,72.82
11,Jaipur,2462500,26.92,75.8
12,Lakhnau,2338500,26.85,80.92
13,Nagpur,2173200,21.16,79.08
14,Indore,1692400,22.72,75.86
15,Bhopal,1519100,23.24,77.4
16,Ludhiana,1478000,30.91,75.84
17,Patna,1458800,25.62,85.13
18,Vadodara,1383700,22.31,73.18
19,Thana,1336500,19.2,72.97
20,Agra,1334900,27.19,78.01
21,Kalyan,1264200,19.25,73.16
22,Varanasi,1166200,25.32,83.01
23,Nashik,1141000,20.01,73.78
24,Mirat,1138100,28.99,77.7
25,Faridabad,1117700,28.38,77.3
26,Haora,1068700,22.58,88.33
27,Pimpri,1066200,18.62,73.8
28,Allahabad,1049200,25.45,81.84
29,Amritsar,1033700,31.64,74.87
30,Visakhapatnam,1027200,17.73,83.3
31,Ghaziabad,1026100,28.66,77.41
32,Rajkot,1024100,22.31,70.79
33,Jabalpur,1008000,23.17,79.94
34,Koyampattur,977900,11.01,76.96
35,Madurai,977800,9.92,78.12
36,Srinagar,948100,34.09,74.79
37,Sholapur,924900,17.67,75.89
38,Aurangabad,924500,19.89,75.32
39,Ranchi,896800,23.36,85.33
40,Jodhpur,896700,26.29,73.02
41,Gwalior,876100,26.23,78.17
42,Vijayawada,874500,16.52,80.63
43,Chandigarh,856900,30.75,76.78
44,Guwahati,856000,26.19,91.75
45,Hubli,832700,15.36,75.13
46,Tiruchchirappalli,790400,10.81,78.69
47,Thiruvananthapuram,789000,8.51,76.95
48,Maisuru,786400,12.31,76.65
49,Navi mumbai,745800,19.11,73.06
50,Jalandhar,742900,31.33,75.57
51,Bareli,741400,28.36,79.41
52,Kota,737300,25.18,75.83
53,Selam,734400,11.67,78.16
54,Aligarh,707400,27.89,78.06
55,Bhubaneswar,685800,20.27,85.84
56,Moradabad,679400,28.84,78.76
57,Gorakhpur,661700,26.76,83.36
58,Raipur,641100,21.24,81.63
59,Bhiwandi,634300,19.3,73.05
60,Kochi,631900,10.02,76.22